location,area_m2,bedrooms,bathrooms,floors,frontage,price_million_vnd
"Nha Trang, Khánh Hòa",58.0,4.0,3.0,4.0,0,3650.0
"Quận 8, Hồ Chí Minh",60.0,4.0,5.0,6.0,1,9000.0
"Gò Vấp, Hồ Chí Minh",60.0,4.0,6.0,4.0,0,9000.0
"Bắc Từ Liêm, Hà Nội",30.0,3.0,3.0,5.0,0,170.0
"Ngô Quyền, Hải Phòng",119.0,4.0,5.0,5.0,0,17000.0
"Nha Trang, Khánh Hòa",53.0,3.0,2.0,3.0,0,3300.0
"Quận 3, Hồ Chí Minh",50.0,7.0,7.0,6.0,0,9700.0
"Nha Trang, Khánh Hòa",148.0,6.0,6.0,5.0,1,16900.0
"Quận 3, Hồ Chí Minh",69.0,6.0,6.0,3.0,0,6500.0
"Hải An, Hải Phòng",60.0,4.0,3.0,5.0,0,5750.0
"Ngô Quyền, Hải Phòng",76.0,4.0,4.0,5.0,0,3700.0
"Long Biên, Hà Nội",50.0,3.0,,6.0,0,7850.0
"Thủ Đức, Hồ Chí Minh",80.0,4.0,4.0,4.0,1,11900.0
"Tân Bình, Hồ Chí Minh",82.0,6.0,9.0,6.0,0,16500.0
"Long Biên, Hà Nội",30.0,3.0,4.0,6.0,0,7000.0
"Tân Bình, Hồ Chí Minh",19.0,1.0,2.0,3.0,0,3200.0
"Nha Trang, Khánh Hòa",64.0,3.0,2.0,3.0,0,4500.0
"Lê Chân, Hải Phòng",72.0,4.0,3.0,5.0,0,6800.0
"Nam Từ Liêm, Hà Nội",35.0,5.0,3.0,6.0,0,7850.0
"Hoàng Mai, Hà Nội",36.0,,,7.0,0,8350.0
"Thanh Xuân, Hà Nội",75.0,,,5.0,0,180.0
"Thủ Đức, Hồ Chí Minh",47.0,2.0,2.0,3.0,0,4600.0
"Thanh Xuân, Hà Nội",50.0,6.0,5.0,8.0,0,21500.0
"Tây Hồ, Hà Nội",51.0,6.0,4.0,7.0,0,14200.0
"Gò Vấp, Hồ Chí Minh",48.0,3.0,4.0,5.0,0,5840.0
"Quận 3, Hồ Chí Minh",98.0,4.0,3.0,5.0,0,8600.0
"Bình Thạnh, Hồ Chí Minh",21.0,4.0,3.0,5.0,0,4950.0
"Thanh Xuân, Hà Nội",33.0,3.0,4.0,6.0,0,8700.0
"Phú Nhuận, Hồ Chí Minh",27.0,4.0,3.0,5.0,0,3500.0
"Quận 10, Hồ Chí Minh",29.0,2.0,3.0,4.0,0,6900.0
"Tân Phú, Hồ Chí Minh",36.0,3.0,3.0,5.0,0,6300.0
"Quận 7, Hồ Chí Minh",235.0,39.0,39.0,5.0,0,26800.0
"Ba Đình, Hà Nội",52.0,4.0,6.0,8.0,0,24000.0
"Hoài Đức, Hà Nội",40.0,4.0,5.0,7.0,0,8900.0
"Ba Đình, Hà Nội",45.0,3.0,5.0,6.0,0,10600.0
"Ba Đình, Hà Nội",45.0,3.0,5.0,6.0,0,10600.0
"Quận 7, Hồ Chí Minh",64.0,5.0,5.0,4.0,0,15900.0
"Ba Đình, Hà Nội",45.0,3.0,,7.0,0,12800.0
"Quận 7, Hồ Chí Minh",165.0,4.0,3.0,6.0,0,5500.0
"Thanh Xuân, Hà Nội",24.0,3.0,4.0,6.0,0,9100.0
"Lê Chân, Hải Phòng",80.0,4.0,3.0,5.0,0,7000.0
"Ba Đình, Hà Nội",46.0,3.0,5.0,6.0,0,10600.0
"Ba Đình, Hà Nội",98.0,26.0,26.0,10.0,1,33500.0
"Thủ Đức, Hồ Chí Minh",66.0,3.0,3.0,4.0,0,6600.0
"Phú Nhuận, Hồ Chí Minh",40.0,5.0,4.0,5.0,0,8600.0
"Tây Hồ, Hà Nội",50.0,3.0,4.0,6.0,0,11800.0
"Bình Tân, Hồ Chí Minh",46.0,3.0,3.0,4.0,1,4950.0
"Hoài Đức, Hà Nội",36.0,4.0,4.0,6.0,0,7350.0
"Quận 11, Hồ Chí Minh",605.0,4.0,5.0,5.0,0,8300.0
"Tân Bình, Hồ Chí Minh",80.0,5.0,6.0,6.0,0,16480.0
"Ba Đình, Hà Nội",47.0,3.0,5.0,6.0,0,10600.0
"Quận 1, Hồ Chí Minh",77.0,4.0,4.0,4.0,1,45000.0
"Thủ Đức, Hồ Chí Minh",97.0,4.0,3.0,3.0,0,7400.0
"Long Biên, Hà Nội",33.0,3.0,4.0,6.0,0,5700.0
"Phú Nhuận, Hồ Chí Minh",36.0,3.0,4.0,5.0,0,7850.0
"Quận 9, Hồ Chí Minh",76.0,3.0,4.0,4.0,0,6700.0
"Quận 3, Hồ Chí Minh",110.0,2.0,2.0,3.0,0,8900.0
"Quận 1, Hồ Chí Minh",30.0,3.0,3.0,4.0,0,5200.0
"Hải An, Hải Phòng",52.0,3.0,3.0,4.0,0,2950.0
"Thanh Xuân, Hà Nội",85.0,9.0,9.0,10.0,1,73000.0
"Hai Bà Trưng, Hà Nội",105.0,36.0,36.0,10.0,0,46500.0
"Phú Nhuận, Hồ Chí Minh",83.0,10.0,10.0,6.0,0,19760.0
"Thủ Đức, Hồ Chí Minh",106.0,4.0,3.0,4.0,0,8800.0
"Long Biên, Hà Nội",48.0,5.0,6.0,9.0,1,22000.0
"Ngô Quyền, Hải Phòng",60.0,8.0,9.0,6.0,0,11900.0
"Long Biên, Hà Nội",80.0,5.0,4.0,6.0,0,23500.0
"Bắc Từ Liêm, Hà Nội",42.0,6.0,4.0,7.0,0,11200.0
"Quận 12, Hồ Chí Minh",48.0,3.0,3.0,3.0,0,4800.0
"Hà Đông, Hà Nội",37.0,3.0,3.0,7.0,0,11500.0
"Gò Vấp, Hồ Chí Minh",36.0,3.0,4.0,4.0,0,3830.0
"Nam Từ Liêm, Hà Nội",74.0,,,3.0,0,10300.0
"Đống Đa, Hà Nội",30.0,3.0,3.0,5.0,0,6900.0
"Hoàng Mai, Hà Nội",42.0,3.0,3.0,6.0,0,7900.0
"Long Biên, Hà Nội",39.0,3.0,3.0,6.0,0,7300.0
"Ba Đình, Hà Nội",30.0,3.0,3.0,5.0,1,890.0
"Quận 8, Hồ Chí Minh",41.0,3.0,3.0,2.0,0,4480.0
"Long Biên, Hà Nội",32.0,3.0,4.0,6.0,0,9000.0
"Tân Phú, Hồ Chí Minh",60.0,5.0,6.0,5.0,0,10000.0
"Ba Đình, Hà Nội",65.0,6.0,4.0,6.0,0,12800.0
"Thủ Đức, Hồ Chí Minh",120.0,5.0,5.0,4.0,0,16500.0
"Long Biên, Hà Nội",38.0,3.0,4.0,6.0,0,5700.0
"Tây Hồ, Hà Nội",31.0,2.0,,7.0,0,11500.0
"Hoàng Mai, Hà Nội",35.0,4.0,5.0,7.0,0,10000.0
"Lê Chân, Hải Phòng",68.0,4.0,4.0,5.0,0,9000.0
"Quận 9, Hồ Chí Minh",50.0,3.0,3.0,4.0,0,5600.0
"Bình Thạnh, Hồ Chí Minh",24.0,3.0,4.0,5.0,0,6500.0
"Hoàng Mai, Hà Nội",42.0,3.0,4.0,6.0,0,12500.0
"Hải An, Hải Phòng",40.0,3.0,3.0,4.0,0,2550.0
"Đống Đa, Hà Nội",40.0,3.0,,8.0,0,11900.0
"Thanh Xuân, Hà Nội",40.0,4.0,5.0,8.0,0,15.0
"Gò Vấp, Hồ Chí Minh",41.0,2.0,2.0,3.0,0,4500.0
"Tân Bình, Hồ Chí Minh",60.0,4.0,4.0,4.0,0,6890.0
"Bình Tân, Hồ Chí Minh",56.0,2.0,2.0,3.0,1,4980.0
"Quy Nhơn, Bình Định",100.0,3.0,3.0,4.0,1,4300.0
"Hà Đông, Hà Nội",100.0,1.0,1.0,6.0,0,30000.0
"Thuận An, Bình Dương",430.0,48.0,48.0,3.0,0,17000.0
"Hai Bà Trưng, Hà Nội",195.0,10.0,10.0,11.0,1,145000.0
"Bình Tân, Hồ Chí Minh",40.0,2.0,2.0,3.0,0,5550.0
"Hai Bà Trưng, Hà Nội",51.0,6.0,6.0,6.0,1,15400.0
"Hoàng Mai, Hà Nội",53.0,6.0,5.0,7.0,0,12600.0
"Long Biên, Hà Nội",53.0,4.0,5.0,7.0,0,9000.0
"Quận 9, Hồ Chí Minh",56.0,3.0,3.0,5.0,0,8190.0
"Ba Đình, Hà Nội",531.0,8.0,8.0,9.0,1,450000.0
"Quận 8, Hồ Chí Minh",130.0,4.0,4.0,4.0,1,22900.0
"Ba Đình, Hà Nội",190.0,3.0,3.0,4.0,0,48000.0
"Phú Nhuận, Hồ Chí Minh",30.0,3.0,3.0,4.0,0,5600.0
"Cầu Giấy, Hà Nội",42.0,3.0,3.0,6.0,0,9500.0
"Hai Bà Trưng, Hà Nội",50.0,3.0,4.0,7.0,1,27000.0
"Long Biên, Hà Nội",60.0,5.0,4.0,6.0,0,15500.0
"Hoàng Mai, Hà Nội",53.0,6.0,5.0,7.0,0,12600.0
"Hai Bà Trưng, Hà Nội",31.0,2.0,2.0,4.0,1,13000.0
"Ba Đình, Hà Nội",35.0,3.0,3.0,5.0,0,9900.0
"Ba Đình, Hà Nội",190.0,3.0,3.0,4.0,0,48000.0
"Quận 12, Hồ Chí Minh",600.0,10.0,10.0,5.0,0,36000.0
"Hoài Đức, Hà Nội",40.0,4.0,5.0,7.0,0,6659.0
"Long Biên, Hà Nội",33.0,3.0,4.0,6.0,0,7000.0
"Hai Bà Trưng, Hà Nội",70.0,4.0,5.0,5.0,0,12000.0
"Quận 8, Hồ Chí Minh",126.0,12.0,12.0,6.0,0,12500.0
"Gò Vấp, Hồ Chí Minh",48.0,4.0,5.0,6.0,1,8000.0
"Quận 10, Hồ Chí Minh",45.0,4.0,3.0,5.0,1,12280.0
"Long Biên, Hà Nội",51.0,4.0,4.0,6.0,0,8300.0
"Đống Đa, Hà Nội",50.0,6.0,5.0,6.0,1,12200.0
"Long Biên, Hà Nội",75.0,5.0,5.0,7.0,0,15000.0
"Hải An, Hải Phòng",40.0,3.0,3.0,4.0,0,1890.0
"Tây Hồ, Hà Nội",50.0,5.0,5.0,8.0,0,16300.0
"Long Biên, Hà Nội",115.0,4.0,4.0,4.0,1,11700.0
"Thanh Xuân, Hà Nội",35.0,4.0,4.0,6.0,0,8000.0
"Quận 7, Hồ Chí Minh",268.0,8.0,8.0,7.0,0,14500.0
"Nam Từ Liêm, Hà Nội",134.0,45.0,45.0,10.0,0,68000.0
"Long Biên, Hà Nội",48.0,3.0,4.0,7.0,0,15000.0
"Gò Vấp, Hồ Chí Minh",72.0,4.0,5.0,3.0,0,6500.0
"Quận 7, Hồ Chí Minh",49.0,2.0,2.0,3.0,0,6500.0
"Hải An, Hải Phòng",40.0,3.0,3.0,4.0,0,1890.0
"Gò Vấp, Hồ Chí Minh",68.0,5.0,6.0,6.0,0,10000.0
"Gò Vấp, Hồ Chí Minh",54.0,3.0,3.0,4.0,0,5000.0
"Hai Bà Trưng, Hà Nội",70.0,,,5.0,0,19800.0
"Hải An, Hải Phòng",48.0,4.0,3.0,6.0,0,3100.0
"Bắc Từ Liêm, Hà Nội",70.0,12.0,12.0,8.0,0,13300.0
"Tân Bình, Hồ Chí Minh",50.0,4.0,5.0,5.0,0,7900.0
"Quận 7, Hồ Chí Minh",100.0,2.0,3.0,3.0,1,14500.0
"Quận 4, Hồ Chí Minh",62.0,5.0,6.0,3.0,0,6500.0
"Quận 12, Hồ Chí Minh",40.0,2.0,2.0,3.0,0,4900.0
"Quận 12, Hồ Chí Minh",132.0,5.0,5.0,6.0,1,13700.0
"Cầu Giấy, Hà Nội",50.0,13.0,12.0,8.0,0,18800.0
"Hai Bà Trưng, Hà Nội",43.0,,,6.0,0,15000.0
"Nam Từ Liêm, Hà Nội",38.0,4.0,5.0,7.0,0,10300.0
"Long Biên, Hà Nội",62.0,4.0,4.0,4.0,0,12000.0
"Long Biên, Hà Nội",58.0,4.0,4.0,6.0,0,15500.0
"Thủ Đức, Hồ Chí Minh",52.0,3.0,3.0,4.0,0,5800.0
"Nam Từ Liêm, Hà Nội",50.0,4.0,3.0,5.0,0,10250.0
"Cần Giuộc, Long An",100.0,4.0,5.0,4.0,1,5200.0
"Quận 11, Hồ Chí Minh",65.0,7.0,8.0,5.0,1,8500.0
"Hải An, Hải Phòng",72.0,4.0,4.0,5.0,0,5950.0
"Quận 10, Hồ Chí Minh",168.0,12.0,14.0,7.0,0,31000.0
"Lê Chân, Hải Phòng",87.0,5.0,5.0,5.0,0,6900.0
"Long Biên, Hà Nội",50.0,4.0,4.0,6.0,0,6850.0
"Hoàng Mai, Hà Nội",33.0,4.0,4.0,6.0,1,7850.0
"Hải An, Hải Phòng",52.0,4.0,3.0,5.0,0,4800.0
"Cầu Giấy, Hà Nội",45.0,3.0,5.0,8.0,0,21700.0
"Thủ Đức, Hồ Chí Minh",153.0,8.0,8.0,4.0,0,11900.0
"Gò Vấp, Hồ Chí Minh",61.0,4.0,5.0,4.0,0,6000.0
"Tây Hồ, Hà Nội",32.0,3.0,5.0,6.0,0,8800.0
"Quận 1, Hồ Chí Minh",63.0,3.0,2.0,3.0,1,8500.0
"Ba Đình, Hà Nội",46.0,6.0,6.0,6.0,1,12000.0
"Lê Chân, Hải Phòng",48.0,4.0,3.0,5.0,1,4580.0
"Tân Bình, Hồ Chí Minh",35.0,3.0,2.0,3.0,0,4250.0
"Tây Hồ, Hà Nội",40.0,4.0,4.0,7.0,0,14800.0
"Đống Đa, Hà Nội",122.0,8.0,5.0,9.0,1,11680.0
"Hoài Đức, Hà Nội",45.0,7.0,7.0,6.0,0,6900.0
"Gò Vấp, Hồ Chí Minh",54.0,3.0,3.0,4.0,0,6300.0
"Đống Đa, Hà Nội",27.0,3.0,3.0,5.0,0,10500.0
"Hoàng Mai, Hà Nội",38.0,,,6.0,0,7600.0
"Lê Chân, Hải Phòng",90.0,4.0,4.0,5.0,0,7600.0
"Long Biên, Hà Nội",30.0,3.0,4.0,6.0,0,7000.0
"Tây Hồ, Hà Nội",43.0,3.0,5.0,7.0,0,12800.0
"Tân Bình, Hồ Chí Minh",8.0,10.0,12.0,8.0,0,26000.0
"Quận 9, Hồ Chí Minh",170.0,4.0,4.0,4.0,1,6650.0
"Đống Đa, Hà Nội",46.0,5.0,4.0,6.0,0,17200.0
"Tây Hồ, Hà Nội",64.0,4.0,4.0,5.0,0,12000.0
"Gò Vấp, Hồ Chí Minh",70.0,,,5.0,0,14700.0
"Thanh Xuân, Hà Nội",24.0,3.0,4.0,6.0,0,9100.0
"Nha Trang, Khánh Hòa",113.0,9.0,9.0,5.0,0,6500.0
"Thủ Đức, Hồ Chí Minh",60.0,4.0,4.0,5.0,0,7900.0
"Quận 10, Hồ Chí Minh",150.0,3.0,3.0,4.0,0,22990.0
"Quận 2, Hồ Chí Minh",75.0,4.0,3.0,5.0,0,10000.0
"Hai Bà Trưng, Hà Nội",60.0,6.0,4.0,6.0,0,13500.0
"Quận 9, Hồ Chí Minh",77.0,4.0,4.0,5.0,0,7950.0
"Hải An, Hải Phòng",42.0,3.0,3.0,4.0,0,2750.0
"Quận 12, Hồ Chí Minh",44.0,4.0,4.0,5.0,0,5600.0
"Hai Bà Trưng, Hà Nội",45.0,6.0,7.0,6.0,0,9000.0
"Gò Vấp, Hồ Chí Minh",32.0,3.0,2.0,3.0,0,3900.0
"Phú Nhuận, Hồ Chí Minh",17.0,2.0,2.0,4.0,0,4000.0
"Nam Từ Liêm, Hà Nội",45.0,4.0,3.0,5.0,0,8250.0
"Tân Phú, Hồ Chí Minh",32.0,2.0,2.0,3.0,0,4600.0
"Vĩnh Long, Vĩnh Long",272.0,5.0,3.0,3.0,1,6800.0
"Thủ Đức, Hồ Chí Minh",61.0,3.0,3.0,4.0,0,7050.0
"Quận 10, Hồ Chí Minh",18.0,3.0,3.0,5.0,0,3850.0
"An Dương, Hải Phòng",52.0,3.0,3.0,4.0,0,2150.0
"Lê Chân, Hải Phòng",44.0,3.0,2.0,4.0,0,2790.0
"Long Biên, Hà Nội",45.0,3.0,5.0,7.0,0,11700.0
"Quận 10, Hồ Chí Minh",53.0,6.0,6.0,6.0,0,8970.0
"Long Biên, Hà Nội",75.0,4.0,3.0,4.0,0,8500.0
"Thanh Xuân, Hà Nội",25.0,3.0,,6.0,0,5900.0
"Long Biên, Hà Nội",55.0,4.0,5.0,7.0,0,10100.0
"Nha Trang, Khánh Hòa",57.0,3.0,2.0,3.0,1,4500.0
"Liên Chiểu, Đà Nẵng",80.0,3.0,2.0,3.0,0,3500.0
"Tây Hồ, Hà Nội",350.0,8.0,8.0,10.0,1,255000.0
"Hai Bà Trưng, Hà Nội",72.0,13.0,13.0,8.0,1,43000.0
"Tây Hồ, Hà Nội",56.0,4.0,,7.0,0,15900.0
"Ba Đình, Hà Nội",35.0,3.0,4.0,6.0,0,9250.0
"Long Biên, Hà Nội",35.0,3.0,4.0,6.0,0,6800.0
"Gò Vấp, Hồ Chí Minh",38.0,3.0,3.0,5.0,0,5000.0
"Quận 8, Hồ Chí Minh",50.0,4.0,4.0,3.0,0,5900.0
"Thuận An, Bình Dương",135.0,5.0,5.0,5.0,0,7300.0
"Quận 10, Hồ Chí Minh",87.0,6.0,5.0,8.0,0,29460.0
"Quận 2, Hồ Chí Minh",52.0,4.0,4.0,5.0,0,7050.0
"Đống Đa, Hà Nội",47.0,4.0,3.0,5.0,0,9600.0
"Quận 10, Hồ Chí Minh",82.0,5.0,5.0,5.0,0,16450.0
"Tân Phú, Hồ Chí Minh",50.0,,,4.0,0,5600.0
"Hai Bà Trưng, Hà Nội",40.0,3.0,4.0,6.0,0,16500.0
"Hai Bà Trưng, Hà Nội",40.0,3.0,4.0,6.0,0,7900.0
"Bình Thạnh, Hồ Chí Minh",65.0,5.0,6.0,5.0,1,13600.0
"Tân Phú, Hồ Chí Minh",56.0,3.0,3.0,3.0,0,6900.0
"Bắc Từ Liêm, Hà Nội",30.0,3.0,3.0,6.0,0,6300.0
"Long Biên, Hà Nội",46.0,3.0,4.0,7.0,0,9000.0
"Hai Bà Trưng, Hà Nội",20.0,2.0,2.0,4.0,1,1780.0
"Long Biên, Hà Nội",42.0,3.0,5.0,7.0,0,15200.0
"Tân Bình, Hồ Chí Minh",80.0,5.0,6.0,5.0,0,10600.0
"Gò Vấp, Hồ Chí Minh",56.0,3.0,3.0,3.0,0,5300.0
"Ba Đình, Hà Nội",45.0,6.0,4.0,6.0,0,10600.0
"Thủ Thừa, Long An",104.0,7.0,7.0,6.0,0,2300.0
"Đống Đa, Hà Nội",59.0,4.0,4.0,5.0,1,15000.0
"Nhà Bè, Hồ Chí Minh",60.0,3.0,4.0,4.0,0,5550.0
"Đông Anh, Hà Nội",52.0,4.0,3.0,5.0,0,5900.0
"Nha Trang, Khánh Hòa",89.0,9.0,10.0,5.0,1,11000.0
"Quận 4, Hồ Chí Minh",48.0,8.0,8.0,7.0,0,8530.0
"Cầu Giấy, Hà Nội",50.0,2.0,1.0,1.0,0,2980.0
"Tây Hồ, Hà Nội",43.0,3.0,5.0,6.0,0,19000.0
"Nha Trang, Khánh Hòa",95.0,5.0,4.0,4.0,1,10500.0
"Tân Phú, Hồ Chí Minh",132.0,5.0,3.0,5.0,1,13800.0
"Nam Từ Liêm, Hà Nội",35.0,8.0,8.0,6.0,0,9500.0
"Hóc Môn, Hồ Chí Minh",100.0,,,2.0,0,4000.0
"Tây Hồ, Hà Nội",36.0,3.0,,6.0,0,10500.0
"Tân Bình, Hồ Chí Minh",11.0,13.0,14.0,5.0,0,12000.0
"Tây Hồ, Hà Nội",40.0,8.0,6.0,7.0,0,15800.0
"Tây Hồ, Hà Nội",36.0,3.0,3.0,6.0,0,7990.0
"Thủ Đức, Hồ Chí Minh",95.0,4.0,5.0,6.0,1,10800.0
"Ba Đình, Hà Nội",36.0,3.0,5.0,7.0,1,7900.0
"Hoàng Mai, Hà Nội",52.0,4.0,4.0,7.0,0,21200.0
"Đống Đa, Hà Nội",26.0,3.0,4.0,6.0,0,11400.0
"Dĩ An, Bình Dương",80.0,3.0,3.0,3.0,1,7200.0
"Long Biên, Hà Nội",35.0,,,6.0,0,8000.0
"Long Biên, Hà Nội",60.0,3.0,5.0,7.0,0,9000.0
"Long Biên, Hà Nội",45.0,3.0,5.0,8.0,1,16300.0
"Nam Từ Liêm, Hà Nội",60.0,4.0,5.0,6.0,0,22000.0
"Long Biên, Hà Nội",50.0,4.0,5.0,8.0,0,13200.0
"Hoàng Mai, Hà Nội",5.0,,,5.0,0,17000.0
"Ba Đình, Hà Nội",20.0,2.0,2.0,6.0,0,3650.0
"Thủ Đức, Hồ Chí Minh",54.0,4.0,5.0,6.0,0,7100.0
"Quận 10, Hồ Chí Minh",40.0,4.0,3.0,5.0,0,8480.0
"Cẩm Lệ, Đà Nẵng",41.0,2.0,2.0,4.0,1,3600.0
"Thủ Đức, Hồ Chí Minh",65.0,3.0,3.0,3.0,0,5700.0
"Đống Đa, Hà Nội",111.0,14.0,14.0,11.0,0,38000.0
"Hai Bà Trưng, Hà Nội",31.0,3.0,4.0,6.0,0,8200.0
"Thủ Đức, Hồ Chí Minh",100.0,4.0,4.0,3.0,0,6850.0
"Nha Trang, Khánh Hòa",122.0,5.0,4.0,4.0,1,13000.0
"Hải An, Hải Phòng",44.0,4.0,3.0,5.0,0,3480.0
"Tân Phú, Hồ Chí Minh",68.0,,,3.0,0,6980.0
"Quận 9, Hồ Chí Minh",92.0,4.0,3.0,4.0,0,6450.0
"Bình Chánh, Hồ Chí Minh",140.0,8.0,8.0,5.0,0,13300.0
"Nha Trang, Khánh Hòa",119.0,3.0,3.0,4.0,0,4000.0
"Tân Bình, Hồ Chí Minh",86.0,5.0,5.0,6.0,1,22990.0
"Hải An, Hải Phòng",40.0,3.0,3.0,4.0,0,2450.0
"Hoàng Mai, Hà Nội",56.0,6.0,7.0,6.0,0,12500.0
"Long Biên, Hà Nội",30.0,3.0,4.0,6.0,0,8250.0
"Long Biên, Hà Nội",65.0,5.0,4.0,6.0,1,28500.0
"Thủ Đức, Hồ Chí Minh",40.0,2.0,2.0,3.0,0,3900.0
"Tân Bình, Hồ Chí Minh",47.0,4.0,2.0,4.0,0,6000.0
"Quận 10, Hồ Chí Minh",33.0,4.0,4.0,5.0,0,6800.0
"Bắc Từ Liêm, Hà Nội",33.0,4.0,3.0,5.0,0,6600.0
"Đống Đa, Hà Nội",48.0,2.0,1.0,4.0,1,2350.0
"Hải An, Hải Phòng",288.0,16.0,4.0,6.0,0,19000.0
